City,Restaurant ID,Restaurant Name,Order Time
Washington D.C.,1fb9bc8d-919e-5540-9b20-64bdce7ed530,Wow Bao (4461 Willard Ave),
Washington D.C.,0fdf1bb2-309b-4276-b69a-4f0a68a1a766,Masala Art (American University Park),
Washington D.C.,b50d0202-fb48-4f6f-9f77-73caf4246ce6,SOL Mexican Grill,
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,2ee99244-2efa-4d9b-b510-d8abf80228f6,Roaming Rooster (Tenleytown),
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,b84ef8aa-1d5d-4534-bd26-67e47ad481ec,Laliguras,
Washington D.C.,97a9bd1f-15bd-4181-84b8-c6deafebd5b1,Pitmasters Back Alley BBQ,
Washington D.C.,22b69cc3-1f14-4927-aafc-bb8c686fccbe,Italian Pizza Kitchen,
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,545fb39a-cc55-4fb7-bfbb-9543254ee0f6,Acacia,
Washington D.C.,805ea552-02c1-40e6-bbc5-ac002286f10e,Shouk (K St.),
Washington D.C.,31c7f3c1-ba12-4594-bdbe-f358d419999a,Viet Chopsticks,
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,1bb0e4b1-c1d4-4035-857a-91006d9a4946,Chercher Ethiopian Restaurant (Bethesda),
Washington D.C.,2f15f90b-5047-46ed-952b-ce7f1638f4d2,Just Wing It. (4922 Cordell Ave),
Washington D.C.,545fb39a-cc55-4fb7-bfbb-9543254ee0f6,Acacia,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,f76d2ad3-9e51-4ce2-830a-39a1bb2fe495,Muncheez,
Washington D.C.,c18fd865-4df6-46d0-bd56-752869084f75,Z-Burger (Tenleytown),
Washington D.C.,b92f71af-4c58-488e-865d-880c5c03396f,Focaccia Sandwiches (Tenleytown),
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,a5b8c60b-9f9d-4d38-986b-cceb6092d001,Passion Fin (Bethesda),
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Louisville,0ecc25a5-e9e0-42aa-8331-27884b334a66,Galaxie,
Washington D.C.,31c7f3c1-ba12-4594-bdbe-f358d419999a,Viet Chopsticks,
Washington D.C.,22b69cc3-1f14-4927-aafc-bb8c686fccbe,Italian Pizza Kitchen,
Washington D.C.,31c7f3c1-ba12-4594-bdbe-f358d419999a,Viet Chopsticks,
Washington D.C.,21d9a57e-edba-45d0-92ee-0fd09ebea0a6,Yosaku Japanese Restaurant (American University Park),
Washington D.C.,99a95ea8-f28d-4009-a4b4-0d69bed051a0,Nando's Peri-Peri (4231 Wisconsin Ave. NW),
Washington D.C.,f87128ee-1b01-44b5-92be-c6a70e679a17,Shouk Rockville,
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,6d7accf6-da5e-4aea-aa30-73b4a44a5502,Poke Dojo (Bethesda Row),
Washington D.C.,b84ef8aa-1d5d-4534-bd26-67e47ad481ec,Laliguras,
Washington D.C.,22b69cc3-1f14-4927-aafc-bb8c686fccbe,Italian Pizza Kitchen,
Washington D.C.,485e8bf0-823f-4cb3-b725-cde69420600d,Dumplings & Beyond,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,e83a69f1-ed1a-42c9-b92b-4f91d819779c,District Taco (Tenleytown),
Washington D.C.,64cae5ff-15c6-482b-8a3e-b223c1676f78,Laredo DC,
Washington D.C.,85cd8e46-af42-4050-aa0e-6f92fd6f0153,Bread Furst (Cleveland Park),
Washington D.C.,b6ac74b6-e288-425e-9600-39e915c2bf68,Poki DC (L Street),
Washington D.C.,31c7f3c1-ba12-4594-bdbe-f358d419999a,Viet Chopsticks,
Washington D.C.,8e127420-edaf-4ef4-969f-88d02ab11e99,La Casita Pupuseria & Market (Silver Spring),
Washington D.C.,b84ef8aa-1d5d-4534-bd26-67e47ad481ec,Laliguras,
Washington D.C.,22b69cc3-1f14-4927-aafc-bb8c686fccbe,Italian Pizza Kitchen,
Washington D.C.,f76d2ad3-9e51-4ce2-830a-39a1bb2fe495,Muncheez,
Washington D.C.,31c7f3c1-ba12-4594-bdbe-f358d419999a,Viet Chopsticks,
Washington D.C.,9b7418f4-0df0-4458-8878-857180dbf749,sweetgreen (Glover Park),
"Asheville, NC",a371a529-96ae-463f-bba9-c6d37d720ec0,Shanghai Dumpling House,
Washington D.C.,af65a70b-a041-4882-9afa-53dac1150e0c,Banana Leaves Asian Restaurant & Sushi Bar,
Washington D.C.,661d86ae-0042-4170-a2d7-33f67105a625,Rito Loco,
Washington D.C.,a90c3670-7c95-4a86-9854-86cda84287a0,The CakeRoom,
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,6d7accf6-da5e-4aea-aa30-73b4a44a5502,Poke Dojo (Bethesda Row),
Washington D.C.,9e50cefb-7e20-4a1b-9a68-739858eea704,Pete's New Haven Style Apizza,
Washington D.C.,99a95ea8-f28d-4009-a4b4-0d69bed051a0,Nando's Peri-Peri (4231 Wisconsin Ave. NW),
Washington D.C.,3e78a8c7-e1f0-4da6-a61a-5272b4e71564,Hello Poke,
Washington D.C.,b92f71af-4c58-488e-865d-880c5c03396f,Focaccia Sandwiches (Tenleytown),
Washington D.C.,31c7f3c1-ba12-4594-bdbe-f358d419999a,Viet Chopsticks,
Washington D.C.,9e50cefb-7e20-4a1b-9a68-739858eea704,Pete's New Haven Style Apizza,
Washington D.C.,46c53020-c90d-49cd-bca2-4e20dddf0b8f,HipCityVeg DuPont,
Washington D.C.,a90c3670-7c95-4a86-9854-86cda84287a0,The CakeRoom,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,21d9a57e-edba-45d0-92ee-0fd09ebea0a6,Yosaku Japanese Restaurant (American University Park),
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,b41380c9-a16b-4817-88e1-cc8952c93e4a,Cielo Rojo,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,ce626f20-7d96-47e9-9987-2c398301f3a5,Zaytinya,
Washington D.C.,b84ef8aa-1d5d-4534-bd26-67e47ad481ec,Laliguras,
Washington D.C.,d021138e-e2bd-4931-b9da-a9cf3e3d558e,Poki DC & Gong Cha (14th St),
Washington D.C.,a0b0753e-47f9-4efb-84e9-a7ce93ccb642,Judy Restaurant,
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,e0ecef75-f559-449b-9535-a4cfbc24c982,Muncheez,
Washington D.C.,2f15f90b-5047-46ed-952b-ce7f1638f4d2,Just Wing It. (4922 Cordell Ave),
Washington D.C.,21d9a57e-edba-45d0-92ee-0fd09ebea0a6,Yosaku Japanese Restaurant (American University Park),
Washington D.C.,59ccfe49-71d4-4f51-abbf-1d0415ba3f96,SEOULSPICE (Tenleytown),
Washington D.C.,f3c36bae-15aa-4766-99b7-6164730a5864,Thai Pad,
Washington D.C.,b84ef8aa-1d5d-4534-bd26-67e47ad481ec,Laliguras,
Washington D.C.,24eeb0f9-9e1d-44e9-9532-8482f68dc1a8,Chipotle Mexican Grill (4301 Wisconsin Ave Nw Unit B),
Washington D.C.,e0ecef75-f559-449b-9535-a4cfbc24c982,Muncheez,
Washington D.C.,3736dfa3-b164-4d62-bd89-53ae46aeb045,El Tamarindo (Adams Morgan),
Washington D.C.,bf51e646-5a73-41c5-9584-3184e5092d6e,CAVA (3105 14th St NW),
Washington D.C.,d3ee22f1-58ba-46a8-a597-a747d81af0f3,TaKorean - Navy Yard,
Washington D.C.,21d9a57e-edba-45d0-92ee-0fd09ebea0a6,Yosaku Japanese Restaurant (American University Park),
Washington D.C.,b84ef8aa-1d5d-4534-bd26-67e47ad481ec,Laliguras,
Washington D.C.,485e8bf0-823f-4cb3-b725-cde69420600d,Dumplings & Beyond,
Washington D.C.,a90c3670-7c95-4a86-9854-86cda84287a0,The CakeRoom,
